"rid", "binaryID"
745,111010111011111111011001110110101111011111001110011011110000111
578,111010111011111111011001110110101111011111001110111110011101000
579,111010111011111111011001110110101111011111001110111110011101001
224,1110101110111111110110011101101011110111110011010100000000101010
225,1110101110111111110110011101101011110111110011010100000000101011
255,1110101110111111110110011101101011110111110011010100000000101110
256,1110101110111111110110011101101011110111110011010100000000101111
748,1110101110111111110110011101101011110111110011100110111100001110
764,1110101110111111110110011101101011110111110011100110111100001111
549,1110101110111111110110011101101011110111110011101111100111010000
550,1110101110111111110110011101101011110111110011101111100111010001
575,1110101110111111110110011101101011110111110011101111100111010010
654,1110101110111111110110011101101011110111110011101111100111010011
247,11101011101111111101100111011010111101111100110101000000001011100
249,11101011101111111101100111011010111101111100110101000000001011101
749,11101011101111111101100111011010111101111100111001101111000011100
752,11101011101111111101100111011010111101111100111001101111000011101
548,11101011101111111101100111011010111101111100111011111001110100000
560,11101011101111111101100111011010111101111100111011111001110100001
570,11101011101111111101100111011010111101111100111011111001110100100
571,11101011101111111101100111011010111101111100111011111001110100101
240,111010111011111111011001110110101111011111001101010000000010111000
241,111010111011111111011001110110101111011111001101010000000010111001
251,111010111011111111011001110110101111011111001101010000000010111010
341,111010111011111111011001110110101111011111001101010000000010111011
753,111010111011111111011001110110101111011111001110011011110000111010
754,111010111011111111011001110110101111011111001110011011110000111011
551,111010111011111111011001110110101111011111001110111110011101001000
552,111010111011111111011001110110101111011111001110111110011101001001
561,111010111011111111011001110110101111011111001110111110011101001010
566,111010111011111111011001110110101111011111001110111110011101001011
233,1110101110111111110110011101101011110111110011010100000000101110010
234,1110101110111111110110011101101011110111110011010100000000101110011
289,1110101110111111110110011101101011110111110011010100000000101110100
309,1110101110111111110110011101101011110111110011010100000000101110101
757,1110101110111111110110011101101011110111110011100110111100001110110
768,1110101110111111110110011101101011110111110011100110111100001110111
521,1110101110111111110110011101101011110111110011101111100111010010100
522,1110101110111111110110011101101011110111110011101111100111010010101
226,11101011101111111101100111011010111101111100110101000000001011100110
230,11101011101111111101100111011010111101111100110101000000001011100111
318,11101011101111111101100111011010111101111100110101000000001011101010
333,11101011101111111101100111011010111101111100110101000000001011101011
758,11101011101111111101100111011010111101111100111001101111000011101100
762,11101011101111111101100111011010111101111100111001101111000011101101
769,11101011101111111101100111011010111101111100111001101111000011101110
784,11101011101111111101100111011010111101111100111001101111000011101111
519,11101011101111111101100111011010111101111100111011111001110100101010
799,11101011101111111101100111011010111101111100111011111001110100101011
231,111010111011111111011001110110101111011111001101010000000010111001110
264,111010111011111111011001110110101111011111001101010000000010111001111
337,111010111011111111011001110110101111011111001101010000000010111010110
338,111010111011111111011001110110101111011111001101010000000010111010111
763,111010111011111111011001110110101111011111001110011011110000111011010
765,111010111011111111011001110110101111011111001110011011110000111011011
520,111010111011111111011001110110101111011111001110111110011101001010110
593,111010111011111111011001110110101111011111001110111110011101001010111
213,1110101110111111110110011101101011110111110011010100000000101110011100
242,1110101110111111110110011101101011110111110011010100000000101110011101
274,1110101110111111110110011101101011110111110011010100000000101110011110
277,1110101110111111110110011101101011110111110011010100000000101110011111
339,1110101110111111110110011101101011110111110011010100000000101110101100
342,1110101110111111110110011101101011110111110011010100000000101110101101
766,1110101110111111110110011101101011110111110011100110111100001110110100
786,1110101110111111110110011101101011110111110011100110111100001110110101
515,1110101110111111110110011101101011110111110011101111100111010010101100
516,1110101110111111110110011101101011110111110011101111100111010010101101
594,1110101110111111110110011101101011110111110011101111100111010010101110
597,1110101110111111110110011101101011110111110011101111100111010010101111
203,11101011101111111101100111011010111101111100110101000000001011100111000
208,11101011101111111101100111011010111101111100110101000000001011100111001
280,11101011101111111101100111011010111101111100110101000000001011100111100
285,11101011101111111101100111011010111101111100110101000000001011100111101
278,11101011101111111101100111011010111101111100110101000000001011100111110
295,11101011101111111101100111011010111101111100110101000000001011100111111
351,11101011101111111101100111011010111101111100110101000000001011101011010
366,11101011101111111101100111011010111101111100110101000000001011101011011
773,11101011101111111101100111011010111101111100111001101111000011101101000
787,11101011101111111101100111011010111101111100111001101111000011101101001
